name,abandonment,maintenance.score
pinch_hitter,0,0.9
omniauth-ohloh,1,0.0
popcorn,1,0.1
china_pay,1,0.2
shorts,1,0.2
capybara-user_agent,1,0.1
simple_settings,0,0.3
gitlab_yaml_db,0,0.9
boleto_bancario,0,0.8
metro-ld25,1,0.1
zip_meta,1,0.6
tmux-ruby,1,0.3
ducksauce,1,0.2
clima_tempo,1,0.1
numbered_relationships,1,0.6
motion-pixate,1,0.1
channel_advisor,1,0.1
fullname-matcher,0,0.6
hubtime,1,0.1
migration_investigation,0,1.0
invariant,1,0.0
plur,1,0.0
evaluator,1,0.4
cinch-spotify,1,0.6
hiera-file,0,0.6
pebblescape,1,0.3
going_postal,0,0.4
acts_as_bits,1,0.1
gaigo,1,0.3
sinatra-filtering_parameters,1,0.1
handle_search,1,0.0
fiscal_date,1,0.1
rack-nullsession,0,0.8
rack-geoipcity,0,1.0
smsglobal,1,0.3
fixedfixer,1,0.0
acts_as_pickable,0,1.0
instascraper,1,0.5
chef-handler-updated-resources,0,0.7
nurettin-phantomjs,0,0.7
david-capybara,0,1.0
jrubyfx,0,0.7
libv8-st,0,0.9
rails_admin-lbgraham,0,0.9
arturop-chronic_duration,0,0.9
renren-mobile,0,0.6
queryable_array,1,0.2
referer-parser,0,0.9
pb-will_paginate,0,1.0
thoughtafter-vpim,1,0.8
stepladder,1,0.0
magician,1,0.0
rjack-jdom,0,1.0
lstoll-feedzirra,0,1.0
uci,1,0.4
token_action,0,0.9
juno,0,0.8
kbaum-pickle,1,0.6
ealdent-resque-scheduler,0,0.9
swistak-delocalize,0,1.0
strikeroff-routing-filter,0,1.0
cotweet_koala,0,1.0
secretsharing,0,0.9
lafeber_ckeditor,0,1.0
bosh_vcloud_cpi,0,1.0
sirius-client,1,0.1
cast,0,0.9
yoomee-searchlogic,1,0.7
aihs_devise,0,0.8
pass,0,1.0
nutheory-rack-gridfs,0,0.7
openshift-origin-console,0,0.6
page_navigation,1,0.2
guard-teabag,0,0.9
suicide,0,1.0
jones,0,0.9
colorful-mina,1,0.3
vkhater-redcarpet,0,1.0
cfp,1,0.3
yql,1,0.1
wmainfo-rb,1,0.0
tb,0,0.1
home,1,0.4
hashrocket-mongomapper,0,0.9
git-pulls-updated,1,0.4
drogus-authlogic,0,1.0
we5-pickler,1,0.3
rjack-jms-spec,0,1.0
aq1018-searchlogic,1,0.7
relevance_ipaddress,0,1.0
jerbil,1,0.1
attribute_defaults,1,0.5
rets4r,1,0.0
sinatra-config-file,0,1.0
cucumber-api-steps,0,0.6
gem-edit,1,0.1
watirmark,0,0.7
review,0,1.0
linqr,0,0.8
ETL,1,0.3
sinatra-extension,0,1.0
drnic-pickler,1,0.5
timcharper-jruby-poi,1,0.4
lspace,1,0.0
shouldly,0,1.0
collins_notify,0,0.8
devise_omniauth_fb,0,1.0
enju_trunk_ill,1,0.3
rhodes,0,0.9
middle,1,0.1
sirius-client-core,1,0.1
sirius-client-win32,1,0.3
sunspot_solr,0,1.0
multi_block,1,0.5
ooorest,0,1.0
sockjs,1,0.3
refinerycms-resources,0,0.8
jruby-jars,0,1.0
instagram_geo,0,1.0
divine,1,0.1
josephholsten-rets4r,1,0.5
anp_prices,0,0.1
kbaum-mail,0,1.0
travis-core,0,1.0
jdbc-h2,0,0.9
delayed_job_csi,0,1.0
eye,0,1.0
axiom,1,0.2
rct,0,0.6
djsun-mongomapper,0,0.9
khipu-rails,1,0.0
bio,0,0.7
aspec,1,0.0
pdf2nook,1,0.2
gnome-backlight,0,0.9
work_days,1,0.0
carrierwave-pressplane,0,1.0
activerecord-jdbc-adapter-onsite,0,1.0
rocx,0,0.4
fromation,0,0.9
rha,1,0.1
mnoble-fakefs,0,1.0
enju_trunk_frbr,1,0.4
webbynode-mongo_mapper,0,1.0
PagedList,0,0.7
joshbuddy-guard,0,1.0
realityforge-jekyll,0,0.9
cotweet-bitly,0,0.7
deblank,0,0.6
viglink,1,0.2
websocket-eventmachine-client,1,0.0
logsly,0,0.3
one_sky,1,0.0
nationalweather,0,1.0
pinglish,0,0.9
rhmp,1,0.0
firebase_token_generator,1,0.3
las_reader,1,0.0
cometd-rails,1,0.1
set_counters,1,0.1
cloudability,0,0.9
pummel,1,0.1
repozish,1,0.0
newrelic-httpclient,0,0.9
motion-ocr,1,0.1
rsync,0,0.8
really_simple_captcha,0,0.5
jackad,1,0.0
ayi,1,0.2
bandcamp_api,1,0.1
em-throttled_queue,1,0.1
mongoid-colors,0,0.9
test-mysqld,1,0.0
mobile_view,1,0.2
megaraid-collectd,0,1.0
ruboty-instagram,1,0.2
paramount,0,0.4
ligo,0,1.0
ofx_for_ruby,0,0.9
mr-sparkle,1,0.5
formatted-money,0,1.0
sugar_png,1,0.0
simple_km,1,0.4
fluent-plugin-http-list,1,0.0
webcmd,1,0.1
aub-graticule,0,0.7
laforge,1,0.1
rrschedule,0,0.5
smartcropper,1,0.5
podcast,0,0.9
rubygems-yardoc,0,1.0
yaml_command,1,0.3
trail,0,1.0
puff,0,1.0
deploytracking,1,0.6
acts-as-aggregate-root,1,0.8
better_robots,1,0.4
missing_translations,1,0.2
nested_scaffold,0,0.9
scrapzirra,1,0.1
task-orchestrator.gemspec,0,0.9
raphaeljs-rails,1,0.0
ruby-ares,0,0.7
minitest-focus,0,0.7
rails-backbone-generator,1,0.0
multirb,1,0.2
arbor-atlas,1,0.0
coercible,1,0.3
harmonious_dictionary,0,0.5
omniauth-workxp,1,0.0
wayfinder,1,0.1
ruby-picasa,0,0.5
array_bit_mask,1,0.3
qor_cache,1,0.1
config_generator,1,0.4
ghost_writer,1,0.2
minion_server,1,0.2
rbcurse-experimental,1,0.0
tmdb-easy,1,0.0
ruby-bsdconv,1,0.5
template-switcher,1,0.1
mote,0,0.7
attempt_to,1,0.2
cdnio,0,1.0
glutton_ratelimit,0,0.7
vidibus-user,0,0.7
workflow_sequel_adapter,1,0.1
mctop,0,0.7
sql_record,1,0.2
maillogger,1,0.3
grosser-get_pomo,0,0.6
paginate-responder,0,0.9
obo,1,0.0
acts_as_owner,1,0.7
dogo,0,1.0
oa-codeschool,1,0.0
librato-storm-kafka,0,0.7
copiedbook,1,0.1
scron,0,0.8
country-select,0,0.8
whatlanguage,0,1.0
invisible_captcha,0,0.9
rack-heroku_env,1,0.0
hamsterdam,0,0.6
color_parser,1,0.5
qadmin,1,0.1
jiji,1,0.8
coin_rack,1,0.0
USPS-intelligent-barcode,0,1.0
zlide,0,0.9
sinatra-mustache,1,0.7
jpcalendar,0,1.0
irxrb-rails,1,0.0
js_fixtures,0,1.0
statsn,1,0.0
facade,0,0.8
testgen,1,0.8
tab_builder,1,0.0
corrails,1,0.0
sii_chile,0,0.3
ksync,0,0.8
soap-lc,1,0.0
irs_forms,0,0.7
mar,1,0.0
colorscore,0,0.8
herbalist,1,0.1
metaforce-delivery_method,1,0.0
assert-rack-test,0,0.9
project_honeypot,0,0.8
newrelic-cassandra,0,0.9
cmac,0,0.7
plastic_wrap,1,0.1
test_track,1,0.1
Glitz,1,0.3
simple_presenter,0,0.5
yubikey_database_authenticatable,0,0.8
xiaohuangji,0,1.0
pi_piper,0,0.2
koyomi,0,0.9
stuffed_bunny,0,0.9
tbm,1,0.0
hue-lib,0,0.5
git-up-portertech,0,0.6
image-optimizer,0,1.0
git-webby,0,0.9
has_normalized_attributes,0,0.7
phuby,0,0.5
ntxt,1,0.2
minispec-metadata,0,0.8
mac_vendor,0,0.7
omega,1,0.1
rack-linkeddata,0,0.5
rbgccxml,1,0.2
guard-shotgun,0,0.8
here_places,0,0.9
rack-health,0,0.7
yinum,1,0.5
uuid_validator,0,0.3
redis-record,1,0.5
month,0,0.7
spree-api-client,1,0.6
highrise_assist,1,0.0
rb-blink1,1,0.1
maclight,0,1.0
acts_as_hashish,1,0.3
youtube_addy,1,0.0
loopiator,0,0.6
gitlab_omniauth-ldap,1,0.4
eric,1,0.0
fspath-xattr,1,0.5
glyph,1,0.7
sloe,0,0.6
lathe,1,0.1
versioned_seeds,1,0.5
vagrant-butcher,1,0.4
ruby-measurement,0,0.7
guard-concat,0,0.5
rrrretry,1,0.1
win32-file-attributes,0,0.5
omniauth-fitbit,0,1.0
days,0,0.7
blankblank,0,0.4
figure_set,0,0.4
redis_scripts,0,1.0
omniauth-behance,1,0.2
lazy_columns,0,0.9
google_plus_archiver,0,0.8
pixbufutils,1,0.7
rack-revision,1,0.3
dr-ffi-proj4,0,0.8
image_optimizer,1,0.1
smtp_url,1,0.0
vagrant-multi-putty,0,0.7
space-saver-redis,1,0.1
amqpop,1,0.0
rack_fake_s3,1,0.1
carrierwave-webdav,1,0.1
backbone-deep-rails,0,1.0
vcloud-rest,0,0.8
paperclip-riak,1,0.0
rails_admin_globalize,1,0.2
haproxy_log_parser,1,0.2
rsocialize,0,0.5
pwrb,0,0.5
hexy,0,0.8
url_validation,1,0.2
persistent_http,1,0.3
pretty_face,0,0.5
cubism-rails,0,0.8
PD_x12,0,0.7
task-orchestrator,0,0.8
hubdown,0,0.2
pry-meta,1,0.3
shalmaneser,0,0.8
mongoid_vote,1,0.7
parallel_http,1,0.0
zucker,0,0.7
models_timeline,1,0.0
chef-resolver,0,0.7
omnibot,0,1.0
rest_connection,1,0.9
beetle,0,0.6
remedy,0,0.4
saxon-xslt,0,0.6
typescript-src,0,0.9
adept_dynamoid,0,0.6
jscolor-rails,1,0.0
rjack-protobuf,0,0.8
mailparser,0,0.7
can_flag,1,0.0
pagerduty-sonian,0,0.7
vim-surround,0,0.7
lessr,0,1.0
random_sources,0,0.6
merge_strings,0,0.7
active_diigo,0,1.0
yahoo_currency,1,0.1
zipcodecoords,1,0.7
mapper,1,0.0
ruby-pardot,0,0.5
tarai,1,0.1
steenzout-dao,1,0.1
javaeye4r,0,0.7
bconv,0,0.5
ip_methods,1,0.0
sinatra_autoload,1,0.1
circuit_b,1,0.0
omniauth-tumblr,0,0.0
fifo-cache,0,0.5
draft,1,0.0
dolzenko-default_value_for,0,0.8
c3-activerecord-oracle_enhanced-adapter,0,1.0
RubySunrise,1,0.1
knife-kvm,0,0.7
mkmf-lite,0,1.0
fcoury-gmail,1,0.1
temporaries,0,0.9
its-it,0,0.8
detabulator,1,0.4
bitlove-ruby_bosh,1,0.4
s3ckup,0,0.6
fio_api,0,0.8
gruby,1,0.4
boomerang-mocksmtpd,1,0.5
pig-spec,1,0.0
exception_master,1,0.1
simple-chmod,1,0.5
rfc2047,0,0.2
rdf-redstore,1,0.4
imitator_x,0,1.0
spree_user_groups,1,0.6
giropay_stalker,1,0.1
railhead_handlersocket,1,0.1
css_primer,1,0.1
swishe,1,0.1
caesar,1,0.2
rabbitmq-service-util,1,0.2
prevent_destroy_if_any,1,0.0
mhackmd_dock,0,1.0
oh,1,0.4
jpegoptim,0,0.9
loaderio,1,0.1
gqtp,0,0.4
winsome_wolverine,0,0.9
fauna,0,0.8
t,0,0.9
can_has_state,0,1.0
mr_eko,0,0.9
dotiw,0,1.0
chillfile,1,0.7
huey,1,0.2
can_has_validations,0,1.0
forever,0,0.5
infect,0,0.5
face,0,0.9
passbook-ios,0,0.7
rails_semantic_logger,0,0.7
earl-report,0,0.8
mac_generators,0,0.4
aquaticprime,0,0.9
percentage,1,0.6
trejo,1,0.7
transip,1,0.3
filterism,1,0.1
unicorn-worker-killer,0,0.8
kraken-io,0,0.8
ruby_regex,0,0.9
pocket-ruby,1,1.0
pd,1,0.2
akero,0,0.4
sidekiq_status,0,0.6
hyakunin-issyu,0,0.5
sanitize-rails,0,1.0
challah-facebook,1,0.1
eloqua_api,0,0.6
mail_room,0,0.9
jsend-rails,1,0.4
jruby_mahout,0,0.7
jsgf,0,0.4
cone,1,0.0
fukung,1,0.4
cuke_sniffer,0,0.8
cardboard,0,0.9
twitter-bootstrap-calendar,0,0.8
spanish_inquisition,0,0.4
trinidad_sqlite_dbpool_extension,1,0.5
jekyll-pagination,1,0.0
count,0,0.9
pump,1,0.4
decent_decoration,1,0.0
activesupport-db-cache,1,0.1
motion-resource,1,0.1
paranoid2,1,0.0
ruby-anything,1,0.1
tbk,0,0.8
widget_list,1,0.3
bootstrap-modal-rails,1,0.3
notation,0,0.7
linguist,0,0.7
configurate,0,0.4
switch_access-rails,1,0.2
upyun,0,0.3
mongoid-undo,0,0.4
webfontloader,0,1.0
testflight,1,0.1
paypal-sdk-core,0,0.4
patterns,1,0.2
rspec-console,0,1.0
rails_enterprise_setup,0,0.7
devise_lastseenable,0,0.5
nerve,0,0.7
banzai,0,1.0
jquery-smooth-scroll-rails,1,0.0
gpa,1,0.3
nestive,1,0.6
pry-nav,1,0.4
keynote,1,0.4
easystats,1,0.7
webhookr,1,0.1
mongoid-tags,0,0.7
steam_location,1,0.3
emblem-rails,0,0.7
shoulda-callback-matchers,0,0.9
acts_more_seo,0,0.7
git_go,1,0.0
sinatra-asset-snack,1,0.0
devise_uid,1,0.0
fastui,0,0.6
kiik-api,1,0.3
pkgwat,1,0.1
ar_lock,1,0.1
nap,0,0.4
route_downcaser,0,0.8
page_title_helper,0,0.5
auom,0,0.5
api_versioning,1,0.0
rss_detector,0,0.8
travis-artifacts,1,0.1
flight-for-rails,0,0.0
fraternity,1,0.4
trello_effort_tracker,1,0.7
fantasy-irc,0,0.6
bremen,1,0.1
ocrsdk,1,0.0
knife-tar,1,0.1
pvc,1,0.0
isbn_validation,0,0.8
middleman-s3_redirect,1,0.1
webhookr-mailchimp,0,0.4
npr,0,0.5
double_double,0,0.6
spiel,1,0.1
rspec-pride,0,0.8
appsignal-moped,0,0.5
email_reply_parser,1,0.2
ellington,1,0.6
devise_masquerade,0,1.0
post_office,0,0.6
ses-proxy,0,0.8
attr_accessible_block,0,0.8
daybreak,0,1.0
SgfParser,0,1.0
spotlite,0,0.2
hue,0,0.5
pixiv,0,0.3
holiday_japan,0,0.7
xxhash,0,1.0
guard-bundler,0,0.6
auto_response,1,0.9
utf8_validator,0,0.9
mkv2m4v,0,0.9
nugrant,0,0.8
rna,0,0.4
ingamer_rhc,1,0.3
redis_vars,1,0.1
fb_graph-mock,1,0.3
guard-sprockets,0,0.5
haproxy,1,0.2
rack-jsonp,1,0.3
qwester,0,0.8
message_router,1,0.6
rack-store,0,0.4
encrypted_cookie,1,0.0
stevedore,0,0.9
ablerc,0,1.0
sonos,1,1.0
thornbed,1,0.0
klout,1,0.0
sshkit,0,1.0
sql-logging,0,0.4
chef-zero,0,0.8
breadcrumble,0,1.0
jaconda,1,0.2
golr,0,0.4
simple_validation,0,0.8
foodcritic,0,0.9
ruby-mpd,0,0.7
puppet-blacksmith,0,0.7
android-adb,1,0.6
topojson-rails,0,0.5
wordmove,0,1.0
state_jacket,1,0.1
digest-crc,1,0.0
use,1,0.9
synchrotron,1,0.3
git-duet,0,0.4
memory_model,0,0.8
multi_xml,0,0.9
similar,1,0.9
nanoc-toolbox,1,0.5
event_bus,1,0.4
dkim,1,0.8
transmission_api,1,0.1
inkwell,1,0.3
recaptcha,0,1.0
gem-ctags,0,0.9
iso639,0,0.5
epp-client,0,0.3
redic,0,0.6
ki-repo,1,0.2
gst-kitchen,1,0.1
mongoid_denormalize,0,1.0
puppet-catalog-test,0,1.0
render_csv,0,0.9
hike,1,0.8
innodb_ruby,0,1.0
geo_calc,0,0.8
i18n_tools,1,0.1
zabbixapi,0,0.7
polyrex-object-methods,1,0.4
olive,1,0.0
omni_kassa,0,0.5
sinatra-router,1,0.1
bossan,1,0.4
mongoid-shell,0,0.6
dalli-elasticache,0,0.9
animate-rails,0,1.0
cross-stub,0,0.9
toggle,1,0.0
geonames_local,0,0.8
knife-zcloudjp,0,0.4
malloc,0,0.7
hello_sign,1,0.0
expedia,0,1.0
accumulators,1,0.1
oink,0,1.0
oplop,1,0.9
frivol,0,0.9
sly,1,0.1
gearman-ruby,1,0.8
heroku-forward,0,0.8
boom,1,0.3
heroku-deflater,0,0.9
x-editable-rails,0,0.9
elasticsearch_autocomplete,0,0.8
finance,0,1.0
id3tag,0,0.7
cutest,0,0.9
cranky,0,1.0
gilenson,1,0.3
fluent-plugin-hbase,1,0.1
rdoc-babel,0,0.8
cityhash,1,0.8
nike_v2,1,0.2
rdf-spec,0,0.8
sidekiq-throttler,0,1.0
junkie,0,1.0
dumpdb,0,0.8
quo_vadis,0,1.0
neography,0,0.8
anima,0,0.9
hiera-http,0,0.7
minion,0,0.9
auto_sprite,0,1.0
suku,0,0.4
ovh_soapi,1,0.0
humanizer,1,0.7
tray-checkout,0,0.6
isbn,1,0.2
dubdubdub,1,0.1
mlb,0,0.9
crossfilter-rails,1,0.3
agile_serializer,0,0.6
ahc,1,0.1
branches,1,0.3
eu_central_bank,0,1.0
rubycas-client,1,0.2
flt,0,0.8
pwrake,0,0.5
redis-sentinel,0,1.0
cobot_client,0,0.7
tenanfy,1,0.0
fastlib,1,0.7
safe_yaml,1,0.3
memegen,1,0.9
open_uri_redirections,1,0.3
nyancat,1,0.3
rspec-puppet-augeas,1,0.3
tune,1,0.7
uploads,1,0.3
mongoa,0,0.5
paypal-express,0,0.9
bytes_converter,1,0.0
rss2mail,0,0.8
r10k,0,0.9
firering,1,0.7
active_enum,1,0.1
password_strength,0,0.8
s3io,0,0.9
consistency_fail,0,0.8
galetahub-enum_field,0,0.6
rusen,0,0.7
brice,0,0.5
temple,0,0.6
puppet-lint,0,1.0
lego,1,0.5
iso8583,0,0.8
duct_tape,1,0.2
mws-connect,1,0.0
russian_phone,0,0.9
guard-migrate,1,0.9
groonga-query-log,0,0.3
missing_validators,0,0.9
geoplanet,1,0.1
crc32,1,0.4
rgl,0,0.7
magic,0,0.6
ipa,0,0.8
sinatra-partial,0,0.9
interact,1,0.2
apify,1,0.6
ooor,0,0.9
ar_mysql_flexmaster,0,0.3
bio-signalp,1,0.2
eycap,1,0.6
fluent-plugin-suppress,1,0.0
tunnelss,0,0.8
defaulter,1,0.1
capistrano-autoscaling,1,0.0
abstract_graph,1,0.3
prop,0,0.2
rack-rewrite,0,0.5
akami,0,0.7
rails-dev-tweaks,1,0.0
schema_validations,0,0.6
flippy,1,0.1
admin_interface,1,0.3
sketchily,1,0.5
test_dummy,1,0.2
async-rails,0,0.5
dev_panel,0,0.5
sauce,0,0.9
rdio-cli,0,1.0
pws,1,0.5
diddy,1,0.0
domp,1,0.5
webmachine,0,1.0
konacha-chai-matchers,0,0.7
carrierwave-mongoid,0,1.0
omniauth-facebook-access-token,1,0.1
view_source_map,0,1.0
motion-yaml,0,0.7
ruby-plsql,0,1.0
record-cache,0,0.7
sendgrid_toolkit,0,0.6
ga_events,1,0.2
dossier,0,0.5
larch,0,0.9
mail,0,1.0
gless,1,0.0
rspec-cramp,1,0.1
faker,0,0.8
puppet-parse,1,0.2
jpmobile,0,1.0
hoe-git,1,0.5
minitest-given,0,0.5
capistrano-db-tasks,0,1.0
multi_mail,0,0.6
teabag,0,1.0
imgsrc,1,0.4
rbatch,0,1.0
turn,1,0.5
iphone_helpers,1,0.2
graymatter,1,0.2
the_country_identity,0,0.5
octopress-codefence,0,0.2
config,0,1.0
fb,1,1.0
gitbak,1,0.0
rack-wwwhisper,0,0.6
i18n_data,0,1.0
resque-status,1,1.0
slurper,1,0.1
xml-mapping,1,0.4
ncursesw,0,0.5
md2review,0,1.0
killbill,0,0.8
git-review,0,0.2
flexi_generators,1,0.9
open311,0,1.0
omniauth-trello,0,0.7
sssmoke,0,0.9
git-switcher,1,0.6
slodown,0,0.6
questionable_surveys,0,0.9
carmen,0,0.9
gpgme-ffi,0,0.8
factory_girl_rails,0,1.0
windows-pr,1,1.0
cf-uaa-lib,0,0.7
danmayer-resume,1,0.5
rqrcode-with-patches,0,0.7
memprof,1,0.7
desi,1,0.6
prathe_devise_ldap_authenticatable,0,0.7
gnuplot,0,1.0
term-ansicolor,1,0.0
waiter,1,0.0
cf-uaac,0,1.0
esx,1,0.3
slanger,0,0.9
pdf-inspector,0,0.6
middleman-favicon-maker,0,0.7
qu-mongo,1,0.0
actionview-encoded_mail_to,0,1.0
listable,1,0.0
spreedly,0,0.7
arel,0,1.0
retter,1,0.1
leaflet-markercluster-rails,1,0.5
wait,1,0.3
pcaprub,0,0.7
gmail_xoauth,1,0.1
redis_orm,1,0.1
klogger,0,0.8
spanish_number,0,0.7
firefly,0,0.9
gibbler,1,0.8
totem,0,0.6
html_massage,1,0.4
